ET_dice,ET_hd95,TC_dice,TC_hd95,WT_dice,WT_hd95,case,fold,gt_ET_vox,gt_TC_vox,gt_WT_vox,mean_dice,mean_hd95,pred_ET_vox,pred_TC_vox,pred_WT_vox,trainer
0.8436899820333312,2.23606797749979,0.8870620717101745,5.2339548995923435,0.8739898949650149,4.69041575982343,BraTS20_Training_242.nii.gz,3,27478,36247,54958,0.8682473162361736,4.053479545638521,37086,44160,70524,nnUNetTrainerUMambaEnc_150epochs
0.8021363173957273,45.4972526643093,0.8537165410109802,49.72926703662542,0.9382998542037907,2.0,BraTS20_Training_243.nii.gz,3,14523,20508,154118,0.8647175708701661,32.40883990031158,13001,19018,142186,nnUNetTrainerUMambaEnc_150epochs
0.7889553414747699,2.0,0.9353570317671737,2.449489742783178,0.952876597072853,1.4142135623730951,BraTS20_Training_244.nii.gz,3,26937,62554,149604,0.8923963234382655,1.9545677683854243,28909,62827,145154,nnUNetTrainerUMambaEnc_150epochs
0.8058826162868783,3.0,0.7373437939229767,9.643650760992955,0.9365465431961025,2.449489742783178,BraTS20_Training_246.nii.gz,3,26417,49349,70781,0.8265909844686525,5.031046834592044,18257,28913,63664,nnUNetTrainerUMambaEnc_150epochs
0.850760046772109,3.0,0.6090088190857665,9.848857801796104,0.8347964730967977,11.045361017187261,BraTS20_Training_260.nii.gz,3,17858,39137,49924,0.7648551129848911,7.964739606327789,14640,17785,54190,nnUNetTrainerUMambaEnc_150epochs
0.0,,0.9348268393533002,1.7320508075688772,0.9397735636323776,2.0,BraTS20_Training_265.nii.gz,3,0,43406,61746,0.624866800995226,1.8660254037844386,150,48012,65972,nnUNetTrainerUMambaEnc_150epochs
0.0,,0.8307708272081078,4.123105625617661,0.9422921985264854,1.7320508075688772,BraTS20_Training_266.nii.gz,3,0,28736,53274,0.5910210085781977,2.927578216593269,912,29085,49745,nnUNetTrainerUMambaEnc_150epochs
0.7752789955482677,5.830951894845301,0.7068592822831308,12.529964086141668,0.8914636556023608,7.280109889280518,BraTS20_Training_274.nii.gz,3,89546,182844,190251,0.7912006444779198,8.547008623422496,58037,100276,158950,nnUNetTrainerUMambaEnc_150epochs
0.0,,0.005017642679097472,28.178005607210743,0.9048825830381216,4.0,BraTS20_Training_278.nii.gz,3,0,59424,107864,0.30330007523907304,16.08900280360537,1732,2358,114293,nnUNetTrainerUMambaEnc_150epochs
0.794212603132847,2.0,0.793479450056526,5.0,0.966174936671137,1.4142135623730951,BraTS20_Training_282.nii.gz,3,6642,12609,85121,0.85128899662017,2.8047378541243653,10084,14812,89365,nnUNetTrainerUMambaEnc_150epochs
0.0,,0.6095628197798539,10.099504938362077,0.9666134833843186,2.0,BraTS20_Training_289.nii.gz,3,0,42264,191547,0.5253921010547242,6.049752469181039,1436,95917,195166,nnUNetTrainerUMambaEnc_150epochs
0.0,24.294002936447786,0.7185619611007682,9.643650760992955,0.9620978331852013,1.4142135623730951,BraTS20_Training_291.nii.gz,3,126,57282,218263,0.5602199314286564,11.783955753271279,49,100099,205908,nnUNetTrainerUMambaEnc_150epochs
0.614187157261631,12.14057120095705,0.8726188531285738,3.1622776601683795,0.9394676411763253,2.23606797749979,BraTS20_Training_292.nii.gz,3,3815,53829,77020,0.8087578838555101,5.8463056128750726,1838,68591,84976,nnUNetTrainerUMambaEnc_150epochs
0.5348066298342542,14.324796869502546,0.9425469633362841,2.23606797749979,0.9571271016874529,1.7320508075688772,BraTS20_Training_299.nii.gz,3,659,87769,111018,0.8114935649526637,6.097638551523738,246,96364,118381,nnUNetTrainerUMambaEnc_150epochs
0.0,,0.7628049280192313,18.439088914585774,0.9372732306014676,3.7416573867739413,BraTS20_Training_306.nii.gz,3,0,97103,180724,0.5666927195402329,11.090373150679858,141,85932,175089,nnUNetTrainerUMambaEnc_150epochs
0.8923611111111112,1.7320508075688772,0.6801602361374658,5.196152422706632,0.8646130256148146,3.1622776601683795,BraTS20_Training_314.nii.gz,3,2810,3497,27311,0.8123781242877972,3.3634936301479628,2950,5989,23558,nnUNetTrainerUMambaEnc_150epochs
