model,fold,case,region,gt_voxels,pred_voxels,mask_status,hd95_status,hd95_mm
SegMamba_150epochs,0,BraTS20_Training_210.nii.gz,TC,63343,,both_nonempty,finite,2.449489742783178
SegMamba_150epochs,0,BraTS20_Training_210.nii.gz,ET,47361,,both_nonempty,finite,1.7320508075688772
SegMamba_150epochs,0,BraTS20_Training_216.nii.gz,WT,60356,,both_nonempty,finite,4.242640687119285
SegMamba_150epochs,0,BraTS20_Training_216.nii.gz,TC,39093,,both_nonempty,finite,2.23606797749979
SegMamba_150epochs,0,BraTS20_Training_216.nii.gz,ET,17097,,both_nonempty,finite,2.0
SegMamba_150epochs,0,BraTS20_Training_220.nii.gz,WT,117937,,both_nonempty,finite,3.605551275463989
SegMamba_150epochs,0,BraTS20_Training_220.nii.gz,TC,27550,,both_nonempty,finite,4.123105625617661
SegMamba_150epochs,0,BraTS20_Training_220.nii.gz,ET,18666,,both_nonempty,finite,2.449489742783178
SegMamba_150epochs,0,BraTS20_Training_223.nii.gz,WT,159632,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_223.nii.gz,TC,32983,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_223.nii.gz,ET,30477,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_224.nii.gz,WT,148030,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_224.nii.gz,TC,93742,,both_nonempty,finite,1.7320508075688772
SegMamba_150epochs,0,BraTS20_Training_224.nii.gz,ET,58416,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_226.nii.gz,WT,69628,,both_nonempty,finite,1.7320508075688772
SegMamba_150epochs,0,BraTS20_Training_226.nii.gz,TC,48390,,both_nonempty,finite,2.23606797749979
SegMamba_150epochs,0,BraTS20_Training_226.nii.gz,ET,40616,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_230.nii.gz,WT,90740,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_230.nii.gz,TC,15664,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_230.nii.gz,ET,15090,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_240.nii.gz,WT,168746,,both_nonempty,finite,3.3166247903554
SegMamba_150epochs,0,BraTS20_Training_240.nii.gz,TC,37504,,both_nonempty,finite,5.0990195135927845
SegMamba_150epochs,0,BraTS20_Training_240.nii.gz,ET,5899,,both_nonempty,finite,3.0
SegMamba_150epochs,0,BraTS20_Training_245.nii.gz,WT,156762,,both_nonempty,finite,5.0
SegMamba_150epochs,0,BraTS20_Training_245.nii.gz,TC,77250,,both_nonempty,finite,3.3166247903554
SegMamba_150epochs,0,BraTS20_Training_245.nii.gz,ET,69134,,both_nonempty,finite,4.123105625617661
